ID;NAME;ADDRESS;CITY;DETAIL;URL
Rumpler;Augustiner-Gaststätte »Rumpler«;Baumstraße 21;80469 München;Haltestelle »Fraunhoferstraße« (U1, U2, U7, U8);https://www.rumpler-augustiner.de/
Schiller Bräu;»Schiller Bräu«;Schillerstraße 23;80336 München;Haltestelle »Hauptbahnhof«;https://www.schiller-braeu.de/de/
Max-Planck-Institut für Psychiatrie;Max-Planck-Institut für Psychiatrie, im Anschluss »Trattoria La Piazza«;Kraepelinstr. 2;80804 München;Haltestelle »Scheidplatz« (U2, U3);https://trattoria-la-piazza.de/
TUM Nordgelände;Nordgelände TU München;Gebäude N5 (Rote Fensterrahmen);4. Stock, Seminarraum N4512;im Anschluss »Tresznjewski«;http://www.tresznjewski.com/
Dionysos;Gaststätte »Dionysos«;Knorrstraße 85;80807 München;Haltestelle »Frankfurter Ring« (U2);http://www.dionysos-milbertshofen.de/
Allianz Sportcasino;»Allianz Sportcasino«;Osterwaldstraße 144;80805 München;Haltestelle »Alte Heide« (U3, U6);https://www.allianz-sportcasino.de/
